OrderId,Description,Quantity,Unit_Price,Total,Date,Address
100,Battery,5.00,10.00,50.00,2024-01-10,25\,Terna
101,Tab,4.00,21.00,84.00,2024-01-11,21\,Mt.Kailas
101,Mouse,1.00,10.00,10.00,2024-01-11,21\,Mt.Kailas
102,USB-C Charging Cable,3.00,12.99,38.97,2024-01-13,25\,Murfy Villa
102,Lightning Charging Cable,2.00,14.99,29.98,2024-01-13,25\,Murfy Villa
102,Apple Airpods Headphones,3.00,149.99,449.97,2024-01-13,25\,Murfy Villa
103,Apple Airpods Headphones,3.00,149.99,449.97,2024-01-13,23\,Terna
104,Lightning Charging Cable,2.00,14.99,29.98,2024-01-13,12\,werweeqw
105,Apple Airpods Headphones,2.00,149.99,299.98,2024-01-13,25\,Terna Clg
105,Lightning Charging Cable,3.00,14.99,44.97,2024-01-13,25\,Terna Clg
106,Lightning Charging Cable,2.00,14.99,29.98,2024-01-13,21\,Fanh
107,Apple Airpods Headphones,2.00,149.99,299.98,2024-01-16,11\,Terna
107,iPhone,2.00,699.99,1399.98,2024-01-16,11\,Terna
108,AAA Batteries (4-pack),4.00,6.99,27.96,2024-01-22,sdqwerqe
109,AAA Batteries (4-pack),8.00,6.99,55.92,2024-01-22,dsafsw
110,Lightning Charging Cable,3.00,14.99,44.97,2024-01-22,25sad
111,USB-C Charging Cable,4.00,12.99,51.96,2024-01-22,sdfs
112,USB-C Charging Cable,2.00,12.99,25.98,2024-01-22,fwefwefr
112,Lightning Charging Cable,1.00,14.99,14.99,2024-01-22,fwefwefr
112,Apple Airpods Headphones,2.00,149.99,299.98,2024-01-22,fwefwefr
113,USB-C Charging Cable,3.00,12.99,38.97,2024-01-22,23\,Adassd
114,27in FHD Monitor,2.00,220.00,440.00,2024-01-23,23\,Terna
114,iPhone,2.00,1550.00,3100.00,2024-01-23,23\,Terna
115,USB-C Charging Cable,1.00,15.00,15.00,2024-01-23,235\,Terna Engg
115,Wired Headphones,2.00,30.00,60.00,2024-01-23,235\,Terna Engg
